96|56
68|78
68|96
52|85
52|14
52|76
85|18
85|96
85|13
85|75
64|15
64|75
64|16
64|41
64|49
49|22
49|88
49|56
49|67
49|86
49|78
88|56
88|16
88|29
88|22
88|18
88|41
88|87
33|17
33|14
33|95
33|13
33|85
33|53
33|57
33|39
83|47
83|88
83|77
83|16
83|32
83|68
83|76
83|95
83|99
72|99
72|74
72|76
72|13
72|94
72|47
72|23
72|77
72|93
72|32
57|32
57|53
57|74
57|64
57|47
57|95
57|49
57|58
57|68
57|76
57|75
47|78
47|56
47|17
47|18
47|29
47|52
47|26
47|15
47|96
47|55
47|27
47|64
74|29
74|26
74|22
74|39
74|27
74|15
74|88
74|17
74|64
74|49
74|18
74|16
74|47
56|22
56|63
56|15
56|41
56|91
56|86
56|26
56|27
56|55
56|72
56|29
56|17
56|35
56|67
67|98
67|73
67|12
67|83
67|33
67|23
67|86
67|87
67|72
67|15
67|95
67|79
67|85
67|91
67|39
87|93
87|12
87|14
87|98
87|32
87|86
87|74
87|52
87|72
87|99
87|76
87|73
87|57
87|85
87|23
87|94
12|93
12|96
12|76
12|57
12|49
12|98
12|58
12|73
12|74
12|64
12|32
12|53
12|68
12|13
12|77
12|99
12|85
98|14
98|85
98|75
98|83
98|13
98|23
98|53
98|32
98|95
98|64
98|74
98|77
98|73
98|96
98|57
98|58
98|99
98|93
58|63
58|75
58|88
58|13
58|67
58|49
58|18
58|26
58|47
58|15
58|68
58|77
58|56
58|74
58|78
58|16
58|96
58|14
58|99
32|96
32|88
32|13
32|47
32|68
32|63
32|29
32|49
32|75
32|78
32|26
32|58
32|14
32|41
32|67
32|27
32|74
32|18
32|76
32|16
17|94
17|98
17|13
17|83
17|73
17|95
17|14
17|32
17|86
17|76
17|57
17|53
17|72
17|99
17|87
17|35
17|85
17|52
17|12
17|39
17|58
94|49
94|13
94|47
94|53
94|77
94|57
94|98
94|83
94|73
94|85
94|74
94|14
94|12
94|95
94|32
94|79
94|64
94|93
94|68
94|23
94|76
94|99
22|32
22|86
22|58
22|13
22|52
22|93
22|98
22|94
22|57
22|85
22|39
22|23
22|55
22|72
22|73
22|79
22|35
22|12
22|87
