--- scanner 0 ---
806,301,-633
-501,-417,319
699,-593,593
599,-948,-962
666,506,480
657,-639,635
-363,523,-711
-689,-409,-863
523,-841,-961
-466,-444,389
-551,-478,293
682,294,-783
637,-604,531
628,429,346
-557,720,459
698,394,-619
-727,-433,-850
-299,531,-672
-405,725,448
-418,610,-699
544,505,321
12,-5,-66
534,-850,-930
-659,-479,-863
-481,563,432

--- scanner 1 ---
-567,723,271
396,736,775
-333,391,-925
879,-437,-483
435,619,-826
391,674,792
-362,-472,-516
818,-588,563
-675,800,276
841,-447,-497
-392,-344,-501
-699,-555,431
558,488,-853
97,11,24
883,-354,-438
-369,353,-837
-400,-372,-455
777,-696,687
537,540,-764
390,680,786
-305,394,-763
745,-688,659
-52,18,-125
-754,-476,397
-652,-554,484
-503,789,349

--- scanner 2 ---
715,-612,-331
545,344,802
-544,-764,-423
605,551,-225
-484,815,-437
-501,-701,621
-547,683,-535
646,-699,-245
461,319,726
615,-621,837
592,631,-352
674,-712,-435
12,16,66
-488,446,506
-595,701,-474
-446,-713,708
-514,-703,-390
583,478,725
723,-635,930
-382,-674,700
-522,-922,-413
-564,430,668
-640,457,511
-74,-142,125
599,-785,937
468,608,-260

--- scanner 3 ---
711,-748,-788
-428,630,-632
590,-772,-913
605,-418,728
-514,718,-615
-815,-855,649
-541,714,303
441,331,-954
109,-112,-17
846,546,409
-13,1,-175
-481,598,-593
-416,646,368
860,485,221
-793,-799,727
592,-779,-647
-648,-558,-530
414,368,-881
-391,664,243
645,-341,704
-680,-765,-573
403,509,-949
-840,-850,672
466,-343,676
934,609,281
-674,-569,-489

--- scanner 4 ---
428,-524,476
466,-579,-849
-769,-857,-356
406,-703,-775
553,-542,501
812,511,472
-447,-558,513
-430,-470,599
705,539,591
-755,469,-592
-696,-820,-329
865,811,-327
79,-43,-21
594,-642,-761
-712,564,-682
978,793,-405
-693,607,426
-764,-679,-318
950,755,-407
-740,539,490
488,-474,626
-408,-590,566
844,420,607
-770,435,-728
-668,460,484

--- scanner 5 ---
-770,670,763
812,733,-782
-382,460,-566
864,-289,801
380,-691,-662
-709,738,832
553,686,617
-386,599,-494
528,604,507
-495,-654,-628
-352,-408,571
-478,-568,-716
-393,-434,560
126,151,86
804,591,-833
809,-242,852
-748,662,687
786,-267,857
413,640,643
56,-22,-18
-456,-601,-596
-404,652,-635
-436,-402,767
773,636,-858
505,-666,-644
440,-541,-712

--- scanner 6 ---
415,738,-730
-509,-231,-485
-566,-398,-446
895,-614,-866
-673,871,-512
-478,-737,417
329,617,-773
-435,-703,499
425,-435,792
835,-555,-763
381,-366,613
-2,82,-131
488,849,633
-547,-310,-637
-436,812,529
-304,875,431
814,-461,-928
-662,719,-517
639,762,677
-689,795,-674
495,666,-823
421,-468,663
-477,-650,423
538,758,741
-418,764,468

--- scanner 7 ---
816,594,927
764,-673,507
-700,-812,470
-509,776,-400
-775,-530,-277
-651,-775,612
474,893,-700
535,-581,-321
-739,-564,-332
-602,-628,-266
-698,-780,644
137,144,40
826,-635,367
-779,893,786
947,459,955
562,-418,-377
-572,882,-393
-617,891,703
462,890,-494
-608,806,812
898,456,894
-638,796,-428
856,-752,466
510,-495,-311
413,960,-544
26,4,-20

--- scanner 8 ---
-2,-27,-81
279,771,385
-722,552,475
-883,-705,621
418,-693,422
673,-491,-462
527,810,-417
339,-785,381
-572,-771,-592
-730,327,449
311,769,559
-538,-703,-736
-860,-496,609
-649,732,-830
-652,793,-712
510,-464,-406
561,846,-362
-869,-653,584
596,-439,-396
463,673,-351
456,-755,282
-596,761,-615
316,722,527
-785,447,522
-561,-867,-645

--- scanner 9 ---
534,387,316
609,-822,763
-598,-439,-626
478,-699,790
-779,659,516
-722,660,680
-837,742,607
-457,-416,434
726,-861,-838
-425,588,-715
41,-108,-42
-447,-378,420
-488,580,-642
670,-867,-849
791,664,-548
796,474,-521
664,-866,-855
-364,-374,375
-359,597,-749
-698,-512,-722
564,438,294
779,574,-496
530,-720,701
536,308,410
-706,-480,-750
-74,50,-5

--- scanner 10 ---
-406,581,-714
722,-721,317
802,778,364
-564,849,465
-667,-365,-438
880,877,-395
-703,-353,-411
663,-772,352
-459,913,488
365,-811,-472
-585,-455,-439
-46,127,15
640,835,-400
733,886,-350
-476,497,-778
71,-69,-135
722,-803,507
